@RELATION songs
@ATTRIBUTE year NUMERIC
@ATTRIBUTE popscore NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE tempo NUMERIC
@ATTRIBUTE energy NUMERIC
@ATTRIBUTE key NUMERIC
@ATTRIBUTE timesig NUMERIC
@ATTRIBUTE mode NUMERIC

@DATA

2001,0.02868790432548411,280.21505999999999,173.20500000000001,0.0,5,5,1
2010,0.0047976920166677576,89.155460000000005,90.659999999999997,0.0,2,3,1
2000,0.022755177400800047,255.73831999999999,101.167,0.0,9,1,1
2000,0.03030226202665506,197.19791000000001,127.782,0.0,4,4,1
2003,0.0,362.60525999999999,116.005,0.0,10,4,1
2006,0.010173782819350025,218.61832000000001,157.90899999999999,0.0,6,4,1
2006,0.004878532779601107,270.68036000000001,101.455,0.0,9,1,1
2006,0.015706184425935455,112.95302,118.041,0.0,4,4,1
2006,0.020567814224352464,80.352199999999996,141.83600000000001,0.0,0,4,1
2006,0.016968716542643168,156.68199999999999,78.453000000000003,0.0,5,3,1
2004,0.016356423841108973,50.912199999999999,81.900999999999996,0.0,4,4,1
2009,0.012808289254270869,144.92688999999999,144.803,0.0,4,4,1
2009,0.02670440535322229,280.24117999999999,64.811000000000007,0.0,0,4,1
2004,0.02683188430329972,149.91628,165.54599999999999,0.0,11,3,1
2006,2.622429851565986e-05,207.51627999999999,117.985,0.0,11,4,1
2003,0.02034785022160728,261.32853,125.02,0.0,0,4,1
2003,0.022306745465174218,238.44525999999999,88.018000000000001,0.0,4,5,1
2005,0.029226869129655428,52.009340000000002,78.382000000000005,0.0,9,3,1
2006,3.9084330574171355e-07,177.94567000000001,118.83499999999999,0.0,3,1,1
2005,0.012755857438404307,189.57015999999999,67.903999999999996,0.0,6,4,1
2007,0.030310692872680255,323.18648999999999,150.11000000000001,0.0,7,4,1
2008,0.022783142272742925,321.17505999999997,100.604,0.0,4,4,1
2006,0.0237335746578696,257.59302000000002,97.959000000000003,0.0,9,4,1
2006,0.004801354567897421,225.17506,118.04300000000001,0.0,11,4,1
2003,0.0047976920166677576,53.393830000000001,160.40899999999999,0.0,1,7,1
2001,0.014593870903998484,352.88771000000003,133.39099999999999,0.0,2,4,1
2007,0.0048979105101691865,153.67791,159.72300000000001,0.0,2,4,1
2009,0.0047976920166677576,200.38485,96.024000000000001,0.0,3,4,1
2002,0.02889534233771682,220.96933999999999,96.287000000000006,0.0,4,4,1
2002,0.015506105477599843,269.73995000000002,103.009,0.0,7,4,1
2008,0.016058189383958144,68.988929999999996,123.965,0.0,1,4,1
2000,0.03153192883376476,223.52933999999999,111.004,0.0,10,4,1
2007,0.027908608410858977,173.37423999999999,201.333,0.0,9,4,1
2005,0.004800282057190012,205.79220000000001,129.488,0.0,8,5,1
2007,0.015932113196182686,208.90076999999999,89.927000000000007,0.0,0,4,1
2002,9.48427882763064e-07,225.04444000000001,100.893,0.0,1,4,1
2001,0.004800079348746006,174.34076999999999,113.08199999999999,0.0,0,4,1
2009,0.3877243088867822,230.63464999999999,135.91399999999999,0.0,9,4,1
2003,0.030813037760017502,298.13506000000001,64.006,0.0,0,1,1
2003,0.03322740418226631,201.87383,113.32599999999999,0.0,10,4,1
2007,0.012755194333408494,357.85097999999999,125.995,0.0,7,5,1
2007,0.02265144576341794,243.72200000000001,126.105,0.0,9,4,1
2006,0.00481807902043299,260.54485,129.98400000000001,0.0,1,4,1
2003,0.03382594345142036,230.42567,86.819999999999993,0.0,4,4,1
2000,0.010174137952951596,180.00934000000001,90.177000000000007,0.0,2,4,1
2007,0.0048009391460397365,229.22404,114.06100000000001,0.0,8,7,1
2005,0.012178404598221317,247.32688999999999,90.665999999999997,0.0,6,4,1
2008,0.03204913443944129,271.85586999999998,120.119,0.0,4,4,1
2005,0.03603059031400876,212.29669000000001,85.028999999999996,0.0,6,4,1
2009,0.025589936069850217,290.63790999999998,123.63500000000001,0.0,4,4,1
2007,0.0047976920166677576,297.76934,140.173,0.0,0,4,1
2006,0.011646000449218305,171.80689000000001,167.95400000000001,0.0,0,1,1
2005,0.025373532201283085,307.35628000000003,135.982,0.0,6,4,1
2003,0.028404344661766247,283.74158999999997,116.621,0.0,0,1,1
2003,0.049819328108735225,242.52036000000001,88.043000000000006,0.0,11,4,1
2006,0.03498648722418886,305.34485000000001,118.05200000000001,0.0,6,4,1
2003,0.01617455467838305,207.33341999999999,195.976,0.0,1,5,1
2002,0.0047976920166677576,142.41914,128.13499999999999,0.0,2,4,1
2001,0.025747600828510717,239.90812,120.05200000000001,0.0,4,4,1
2005,0.00499341928838133,236.66892999999999,90.009,0.0,5,4,1
2000,0.004798266362340258,129.88036,130.71600000000001,0.0,7,1,1
2003,0.007501071943051246,181.57669000000001,117.96599999999999,0.0,7,1,1
2003,0.018363571027676173,352.86158999999998,41.210000000000001,0.0,8,4,1
2007,0.004801846074084371,285.38729999999998,116.423,0.0,2,3,1
2000,0.020871326056683806,173.81832,161.78200000000001,0.0,4,3,1
2001,0.01730226301732656,180.50567000000001,109.018,0.0,7,3,1
2004,0.031606149971026704,255.00689,149.94800000000001,0.0,4,4,1
2002,0.013093810979555509,231.54893000000001,185.97,0.0,2,4,1
2003,1.9083731205882522e-07,219.74159,141.44999999999999,0.0,4,1,1
2006,0.004810589458584877,181.81179,200.375,0.0,9,5,1
2004,0.03151729033228835,417.67138,181.54900000000001,0.0,5,4,1
2005,0.012992730947668008,198.79138,100.081,0.0,7,4,1
2002,0.043918094514330444,347.84607999999997,152.214,0.0,4,3,1
2006,0.02492244106565104,225.64526000000001,110.994,0.0,10,4,1
2003,0.01086139442657287,198.86975000000001,107.087,0.0,0,4,1
2004,0.0,237.79220000000001,90.281999999999996,0.0,5,3,1
2005,0.010291339310162509,158.45831999999999,95.036000000000001,0.0,2,4,1
2002,0.015723796684514967,237.87056999999999,113.15600000000001,0.0,0,3,1
2005,0.03775817444693907,285.49178999999998,91.100999999999999,0.0,1,4,1
2002,0.004814132656762722,208.97914,128.714,0.0,7,4,1
2003,0.030165247889490394,218.22649000000001,120.006,0.0,10,4,1
2003,0.018944824026956967,617.82159000000001,148.505,0.0,2,5,1
2004,0.03125181036878433,178.33751000000001,85.111999999999995,0.0,1,1,1
2000,1.7663067095794517e-06,323.21260999999998,93.234999999999999,0.0,7,1,1
2007,0.03198997144868504,189.75301999999999,168.24799999999999,0.0,9,4,1
2004,0.033695257222767304,174.602,142.00999999999999,0.0,11,4,1
2009,0.004797826619399188,192.46975,81.986000000000004,0.0,2,4,1
2006,0.021176681150368977,200.90729999999999,181.88900000000001,0.0,10,4,1
2001,0.02691721204737689,98.899140000000003,182.56999999999999,0.0,4,1,1
2008,0.026074306235432936,267.75465000000003,102.008,0.0,9,4,1
2003,0.028446238428365078,255.84280999999999,121.871,0.0,1,4,1
2009,0.03732011062560626,378.95791000000003,196.14099999999999,0.0,5,4,1
2003,0.030807317885365677,256.49587000000002,111.039,0.0,0,4,1
2006,0.02551242980893268,227.99628000000001,147.97499999999999,0.0,9,4,1
2000,0.013840694974998716,120.86812,187.32300000000001,0.0,9,1,1
2004,0.0,285.15219999999999,182.19800000000001,0.0,10,4,1
2002,0.004799800845867242,215.90159,102.828,0.0,1,4,1
2004,0.03832807997775394,260.91057000000001,141.76900000000001,0.0,2,4,1
2008,0.0048198498633292165,344.68526000000003,134.83199999999999,0.0,2,4,1
2008,0.0047976920166677576,149.89016000000001,154.69499999999999,0.0,7,4,1
2005,0.024451156858042073,70.895870000000002,42.524999999999999,0.0,0,4,1
2009,0.03430266533111049,192.44363000000001,147.904,0.0,7,4,1
2010,0.005051860293765926,142.15790999999999,133.072,0.0,4,1,1
2005,0.024363647941116624,245.13261,100.03400000000001,0.0,9,4,1
2008,0.04964421318395374,286.77179000000001,147.97900000000001,0.0,11,4,1
2009,0.022720426118333574,146.99056999999999,152.63300000000001,0.0,6,1,1
2007,0.01744016767751547,264.67219999999998,147.12799999999999,0.0,10,4,1
2004,0.010173285490603165,404.45341999999999,131.50899999999999,0.0,2,4,1
2008,0.03183390563126226,273.08363000000003,109.804,0.0,7,4,1
2010,0.017045505817345773,179.51302000000001,134.11199999999999,0.0,1,3,1
2004,0.0335535656464448,262.89587,145.99700000000001,0.0,2,1,1
